1	1	29
2	2	37
3	1	22
4	2	26
5	2	15
6	3	1
7	3	43
8	1	3
9	1	46
10	1	48
11	1	30
12	1	19
13	2	40
14	3	44
15	3	5
16	3	19
17	3	0
18	1	39
19	3	10
20	3	5
21	1	27
22	2	5
23	2	25
24	2	30
25	3	9
26	3	42
27	2	24
28	2	35
29	3	33
30	3	11
31	3	16
32	1	25
33	3	40
34	2	42
35	3	32
36	2	29
37	1	5
38	1	31
39	3	44
40	2	3
41	2	40
42	1	42
43	1	10
44	3	31
45	1	10
46	1	31
47	2	27
48	3	44
49	3	24
50	1	22
51	3	35
52	3	18
53	3	38
54	1	24
55	1	11
56	3	38
57	2	24
58	2	19
59	3	12
60	3	29
61	1	48
62	2	1
63	3	22
64	3	45
65	3	36
66	3	6
67	3	24
68	3	14
69	2	26
70	3	47
71	1	18
72	3	42
73	2	21
74	1	31
75	3	16
76	3	8
77	1	28
78	2	42
79	1	12
80	3	0
81	2	9
82	3	20
83	2	35
84	1	48
85	1	28
86	3	2
87	2	35
88	1	43
89	1	7
90	2	42
91	2	40
92	1	42
93	1	14
94	3	20
95	1	26
96	3	27
97	2	30
98	1	23
99	3	36
100	1	28
