17	3	0
80	3	0
6	3	1
62	2	1
86	3	2
40	2	3
8	1	3
15	3	5
20	3	5
22	2	5
37	1	5
66	3	6
89	1	7
76	3	8
25	3	9
81	2	9
19	3	10
43	1	10
45	1	10
30	3	11
55	1	11
59	3	12
79	1	12
68	3	14
93	1	14
5	2	15
31	3	16
75	3	16
52	3	18
71	1	18
16	3	19
58	2	19
12	1	19
82	3	20
94	3	20
73	2	21
63	3	22
3	1	22
50	1	22
98	1	23
49	3	24
67	3	24
27	2	24
57	2	24
54	1	24
23	2	25
32	1	25
4	2	26
69	2	26
95	1	26
96	3	27
47	2	27
21	1	27
77	1	28
85	1	28
100	1	28
60	3	29
36	2	29
1	1	29
24	2	30
97	2	30
11	1	30
44	3	31
38	1	31
46	1	31
74	1	31
35	3	32
29	3	33
51	3	35
28	2	35
83	2	35
87	2	35
65	3	36
99	3	36
2	2	37
53	3	38
56	3	38
18	1	39
33	3	40
13	2	40
41	2	40
91	2	40
26	3	42
72	3	42
34	2	42
78	2	42
90	2	42
42	1	42
92	1	42
7	3	43
88	1	43
14	3	44
39	3	44
48	3	44
64	3	45
9	1	46
70	3	47
10	1	48
61	1	48
84	1	48
